Measurement time:; 13/8/2024 16:05:44
Radiation device:; Platform Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 27,9; 13,2; 69,35; 218753,2; 67,46
0,0; 29,0; 13,2; 63,79; 201200,0; 62,05
0,0; 30,0; 13,2; 58,03; 183048,5; 56,32
0,0; 31,0; 13,2; 51,77; 163285,0; 50,66
0,0; 32,0; 13,2; 46,16; 145589,0; 44,84
0,0; 33,0; 13,2; 40,33; 127199,9; 39,25
0,0; 34,0; 13,2; 34,70; 109462,8; 33,95
0,0; 35,0; 13,2; 30,24; 95368,0; 29,09
0,0; 36,0; 13,2; 25,34; 79936,8; 24,92
0,0; 37,0; 13,2; 21,70; 68461,7; 21,07
0,0; 38,0; 13,2; 18,19; 57371,7; 17,81
0,0; 39,0; 13,2; 15,35; 48418,1; 14,94
0,0; 40,0; 13,2; 13,03; 41086,3; 12,63
0,0; 41,0; 13,2; 11,02; 34762,5; 10,65
0,0; 42,0; 13,2; 9,10; 28718,5; 8,90
0,0; 43,0; 13,2; 7,76; 24473,5; 7,54
0,0; 44,0; 13,2; 6,52; 20580,6; 6,34
0,0; 45,0; 13,2; 5,53; 17439,0; 5,37
0,0; 46,0; 13,2; 4,69; 14779,8; 4,59
0,0; 47,0; 13,2; 4,02; 12673,7; 3,91
0,0; 48,0; 13,2; 3,42; 10793,0; 3,34
0,0; 49,0; 13,2; 2,98; 9399,9; 2,90
0,0; 50,0; 13,2; 2,59; 8169,2; 2,51
0,0; 51,0; 13,2; 2,26; 7123,9; 2,21
0,0; 52,0; 13,2; 2,05; 6469,9; 1,98
0,0; 53,0; 13,2; 1,78; 5608,8; 1,76
0,0; 54,0; 13,2; 1,65; 5207,1; 1,59
0,0; 55,0; 13,2; 1,45; 4573,2; 1,42
0,0; 56,0; 13,2; 1,33; 4180,6; 1,29
0,0; 57,0; 13,2; 1,22; 3856,8; 1,18
0,0; 58,0; 13,2; 1,14; 3595,3; 1,11
0,0; 59,0; 13,2; 1,08; 3408,0; 1,04
0,0; 60,0; 13,2; 0,97; 3070,7; 0,95
0,0; 61,0; 13,2; 0,93; 2943,0; 0,92
0,0; 62,0; 13,2; 0,89; 2803,5; 0,86
0,0; 63,0; 13,2; 0,81; 2547,6; 0,79
0,0; 64,0; 13,2; 0,77; 2415,9; 0,75
0,0; 65,0; 13,2; 0,73; 2287,2; 0,71
0,0; 66,0; 13,2; 0,71; 2248,6; 0,69
0,0; 67,0; 13,2; 0,63; 2000,9; 0,62
0,0; 68,0; 13,2; 0,64; 2008,7; 0,62
0,0; 69,0; 13,2; 0,58; 1820,0; 0,56
0,0; 70,8; 13,2; 0,60; 1879,0; 0,58


Measurement time:; 13/8/2024 16:07:03
Radiation device:; Platform Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
71,6; 0,0; 13,2; 0,55; 1749,4; 0,51
70,9; 0,0; 13,2; 0,55; 1738,1; 0,54
69,7; 0,0; 13,2; 0,60; 1879,9; 0,58
68,8; 0,0; 13,2; 0,60; 1889,2; 0,59
67,8; 0,0; 13,2; 0,65; 2049,3; 0,63
66,7; 0,0; 13,2; 0,65; 2040,4; 0,63
65,7; 0,0; 13,2; 0,69; 2165,0; 0,66
64,8; 0,0; 13,2; 0,70; 2207,0; 0,68
63,7; 0,0; 13,2; 0,74; 2323,6; 0,72
