Measurement time:; 13/8/2024 16:21:48
Radiation device:; Synergy Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 11,0; 106,30; 335305,4; 93,74
0,0; 0,0; 10,0; 105,49; 332729,2; 92,54
0,0; 0,0; 9,0; 104,00; 328020,4; 91,31
0,0; 0,0; 8,0; 103,20; 325508,5; 90,17
0,0; 0,0; 7,0; 102,14; 322176,3; 89,06
0,0; 0,0; 6,0; 100,93; 318354,1; 87,88
0,0; 0,0; 5,0; 99,69; 314441,9; 86,67
0,0; 0,0; 4,0; 98,51; 310721,1; 85,46
0,0; 0,0; 3,0; 97,24; 306713,0; 84,17
0,0; 0,0; 2,0; 95,82; 302224,4; 82,77
0,0; 0,0; 1,0; 94,41; 297783,8; 81,42
0,0; 0,0; 0,0; 93,85; 296024,3; 80,66


Measurement time:; 13/8/2024 16:23:03
Radiation device:; Synergy Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 80,0; 1,72; 5437,8; 1,84
0,0; 0,0; 79,4; 1,90; 6007,2; 1,94
0,0; 0,0; 78,2; 1,88; 5923,9; 1,92
0,0; 0,0; 77,2; 1,94; 6108,6; 1,95
0,0; 0,0; 76,2; 1,92; 6069,9; 1,95
0,0; 0,0; 75,2; 1,95; 6142,1; 1,96
0,0; 0,0; 74,2; 1,92; 6065,4; 1,93
0,0; 0,0; 73,2; 1,99; 6268,0; 1,98
0,0; 0,0; 72,2; 1,97; 6228,1; 1,98
0,0; 0,0; 71,2; 2,04; 6425,7; 1,98
0,0; 0,0; 70,2; 2,00; 6309,6; 1,99
0,0; 0,0; 69,2; 2,07; 6522,5; 2,03
0,0; 0,0; 68,2; 2,12; 6672,4; 2,05
0,0; 0,0; 67,2; 2,12; 6675,9; 2,07
0,0; 0,0; 66,2; 2,19; 6922,8; 2,11
0,0; 0,0; 65,2; 2,37; 7486,0; 2,30
0,0; 0,0; 64,2; 2,56; 8067,6; 2,47
0,0; 0,0; 63,1; 2,88; 9095,1; 2,79
